SDG 2 — Zero Hunger 

BSIT 0732 | Web-based pharmacy management system of Winbell, Winmark and Billy pharmacy 
BSIT 0739 | Web-based virtual nutritionist 
BSIT 0753 | Design and development of traceph: Philippines tracing and retracing application for Covid-19 elimination 
BSIT 0761 | Healspace case monitoring and online mental health evaluation system 
BSIT 0768 | Digital logbook management and data visualization for Batangas State Univesity Alangilan campus clinic 
BSIT 0771 | Kidneycare: an scheduling application for patient-to- dialysis center communication 
BSIT 0775 | BTG dental clinic web-based app 
BSIT 0781 | Sta. Teresita medic-line :telemedicine solution 
BSIT 0794 | Dental appointment information management system 
BSIT 0798 | Electronic veterinary management system for Vetmyx animal clinic 
BSIT 0805 | Asian Institute of Computer Studies (AICS) mental health assessment and evaluation system 
BSIT 0819 | Healthcare EDX 
BSIT 0827 | BARAKO TOUR: an online culture preservation and archiving system for Batangas PTCAO 
BSIT 0829 | Online management system with QR code optimization for Ogirima dental care 
BSIT 0839 | Data automation system for anti-rabies program of OCVAS Batangas 
BSIT 0849 | Web-Based Blood Donation Management System using QR Code for Red Cross Batangas City 
BSIT 0853 | Doctor’s appointment system for Alitagtag rural health unit 
BSIT 0855 | Web-based dental patient management system for Dr. Liligrace Calangi’s clinic 
BSIT 0870 | Development of telemedicine as the new digital outpatient clinic of San Antonio life care hospital 
BSIT 0873 | E-health: a mobile based health and nutrition application 
BSIT 0941 | Automated alert system based on vital sign deviation for wearable IOT device 
BSIT 0947 | Design and development of temperature and humidity monitoring system: In a pharmacy setup 
BSIT 0954 | Lan Map: Design and implementation of a network monitoring activity for Batangas Medical Center 
BSIT 0984 | Elder Care Alliance: A web-based donation system using payment gateways and web APIs 
BSIT 0986 | Bangis: Batangas animal bite management gateway information system for efficient management of human rabies vaccines in the Province of Batangas 
BSIT 0987 | Implementation of Batangas State University – TNEU mental health assessment portal 
BSIT 0994 | Lunaslokal: A local pharmaceutical locator with comprehensive product referral 
